"Code","Primary Role Name","Geographic Local Authority Name"
"NBG4V","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NV13P","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NV13Q","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"DN501","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"NLG21","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF GREENWICH"
"NNFC5","INDEPENDENT SECTOR H/C PROVIDER SITE","HULL CITY COUNCIL"
"NV14L","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"NXX3E","INDEPENDENT SECTOR H/C PROVIDER SITE","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"NTPX1","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DF909","INDEPENDENT SECTOR H/C PROVIDER SITE","WOKINGHAM BOROUGH COUNCIL"
"DF910","INDEPENDENT SECTOR H/C PROVIDER SITE","SOMERSET COUNCIL"
"DF911","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"DF912","INDEPENDENT SECTOR H/C PROVIDER SITE","PLYMOUTH CITY COUNCIL"
"DF913","INDEPENDENT SECTOR H/C PROVIDER SITE","CORNWALL COUNCIL"
"NO03Q","INDEPENDENT SECTOR H/C PROVIDER SITE","CENTRAL BEDFORDSHIRE COUNCIL"
"NW60B","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NW60I","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NW60O","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NW60S","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"DN601","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"DN603","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"DN701","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CAMDEN"
"DN702","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BARNET"
"NNV2T","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF KINGSTON UPON THAMES"
"ACG19","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"NT9D4","INDEPENDENT SECTOR H/C PROVIDER SITE","WESTMORLAND AND FURNESS COUNCIL"
"NT9D5","INDEPENDENT SECTOR H/C PROVIDER SITE","DARLINGTON BOROUGH COUNCIL"
"NT9D6","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NT9D7","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NT9D8","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NT9D9","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NT9E1","INDEPENDENT SECTOR H/C PROVIDER SITE","TELFORD & WREKIN COUNCIL"
"NT9E2","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF GREENWICH"
"NT9E3","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LEWISHAM"
"NT9E4","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NT9E5","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH LINCOLNSHIRE COUNCIL"
"NT9E6","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"NT9E7","INDEPENDENT SECTOR H/C PROVIDER SITE","TRAFFORD METROPOLITAN BOROUGH COUNCIL"
"NT9E8","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NT9E9","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"DEH02","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CROYDON"
"NT9F1","INDEPENDENT SECTOR H/C PROVIDER SITE","CAMBRIDGESHIRE COUNTY COUNCIL"
"NT9F2","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"DN801","INDEPENDENT SECTOR H/C PROVIDER SITE","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"NV60M","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NXXWW","INDEPENDENT SECTOR H/C PROVIDER SITE","COVENTRY CITY COUNCIL"
"NXXWX","INDEPENDENT SECTOR H/C PROVIDER SITE","STAFFORDSHIRE COUNTY COUNCIL"
"NXXWY","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"NXXXA","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DN901","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF LONDON CORPORATION"
"DNA01","INDEPENDENT SECTOR H/C PROVIDER SITE","NEWCASTLE CITY COUNCIL"
"DNA02","INDEPENDENT SECTOR H/C PROVIDER SITE","NEWCASTLE CITY COUNCIL"
"DNA03","INDEPENDENT SECTOR H/C PROVIDER SITE","SUNDERLAND CITY COUNCIL"
"DNA04","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NV14M","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"DNC01","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"NTT39","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"NO03R","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"NHT9B","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"NHT9C","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"NBG4W","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WOLVERHAMPTON COUNCIL"
"NBG4X","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH LINCOLNSHIRE COUNCIL"
"NBG4Y","INDEPENDENT SECTOR H/C PROVIDER SITE","SANDWELL METROPOLITAN BOROUGH COUNCIL"
"NBG5A","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NV14N","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"AJ60B","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH TYNESIDE COUNCIL"
"DND01","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"DNE01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF YORK COUNCIL"
"DNE02","INDEPENDENT SECTOR H/C PROVIDER SITE","MILTON KEYNES COUNCIL"
"DKE15","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DNF01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"DNG01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NXX3F","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"DKE16","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"DKE17","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DKE18","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"NEM9I","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"NBG5B","INDEPENDENT SECTOR H/C PROVIDER SITE","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"DNH01","INDEPENDENT SECTOR H/C PROVIDER SITE","WORCESTERSHIRE COUNTY COUNCIL"
"DNJ01","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DNK01","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"NEM9K","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"NEM9L","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"NEM9M","INDEPENDENT SECTOR H/C PROVIDER SITE","CAMBRIDGESHIRE COUNTY COUNCIL"
"DNL01","INDEPENDENT SECTOR H/C PROVIDER SITE","SEFTON METROPOLITAN BOROUGH COUNCIL"
"NY6L3","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"DAY07","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"DAY08","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"DAY09","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"DAY10","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"DAY11","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"DAY12","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"DAY13","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"DAY14","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NQAC4","INDEPENDENT SECTOR H/C PROVIDER SITE","THURROCK COUNCIL"
"DNM01","INDEPENDENT SECTOR H/C PROVIDER SITE","BEDFORD BOROUGH COUNCIL"
"DNN01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH NORTHAMPTONSHIRE COUNCIL"
"DNP01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH NORTHAMPTONSHIRE COUNCIL"
"DNQ01","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"DKE19","INDEPENDENT SECTOR H/C PROVIDER SITE","SALFORD CITY COUNCIL"
"NY6L4","INDEPENDENT SECTOR H/C PROVIDER SITE","KIRKLEES COUNCIL"
"NMG0E","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DGJ02","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DGJ03","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"DGJ04","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"AXG0X","INDEPENDENT SECTOR H/C PROVIDER SITE","WILTSHIRE COUNCIL"
"DKE20","INDEPENDENT SECTOR H/C PROVIDER SITE","SALFORD CITY COUNCIL"
"DKE21","INDEPENDENT SECTOR H/C PROVIDER SITE","SALFORD CITY COUNCIL"
"DGJ05","INDEPENDENT SECTOR H/C PROVIDER SITE","SALFORD CITY COUNCIL"
"DGJ06","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"DGJ07","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"NDA0K","INDEPENDENT SECTOR H/C PROVIDER SITE","BURY METROPOLITAN BOROUGH COUNCIL"
"DGJ08","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DGJ09","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DGJ10","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"DGJ11","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"DGJ12","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"DGJ13","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"DGJ14","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"NFO37","INDEPENDENT SECTOR H/C PROVIDER SITE","WARRINGTON BOROUGH COUNCIL"
"NFO38","INDEPENDENT SECTOR H/C PROVIDER SITE","WARRINGTON BOROUGH COUNCIL"
"NT382","INDEPENDENT SECTOR H/C PROVIDER SITE","DORSET COUNCIL"
"NY6L5","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NT383","INDEPENDENT SECTOR H/C PROVIDER SITE","BCP COUNCIL"
"DNR01","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST NORTHAMPTONSHIRE COUNCIL"
"NBG5C","INDEPENDENT SECTOR H/C PROVIDER SITE","KIRKLEES COUNCIL"
"NBG5D","INDEPENDENT SECTOR H/C PROVIDER SITE","WALSALL METROPOLITAN BOROUGH COUNCIL"
"NO03X","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NO03T","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NO03V","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NO03W","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NY6L6","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NY6L7","INDEPENDENT SECTOR H/C PROVIDER SITE","SHEFFIELD CITY COUNCIL"
"DNT01","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"NYNW1","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"NYNW9","INDEPENDENT SECTOR H/C PROVIDER SITE","WIRRAL BOROUGH COUNCIL"
"NTX32","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NYNWA","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"NYNWB","INDEPENDENT SECTOR H/C PROVIDER SITE","TORBAY COUNCIL"
"NYNWC","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"NYNWD","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF GREENWICH"
"NQL14","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL15","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL16","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NPR0E","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NPR0F","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKBURN WITH DARWEN BOROUGH COUNCIL"
"DNV01","INDEPENDENT SECTOR H/C PROVIDER SITE","SOMERSET COUNCIL"
"DNV02","INDEPENDENT SECTOR H/C PROVIDER SITE","SOMERSET COUNCIL"
"NL10F","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NL10G","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NXV0F","INDEPENDENT SECTOR H/C PROVIDER SITE","SHROPSHIRE COUNCIL"
"NTG0D","INDEPENDENT SECTOR H/C PROVIDER SITE","REDCAR AND CLEVELAND BOROUGH COUNCIL"
"DNW01","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST BERKSHIRE COUNCIL"
"DKE22","INDEPENDENT SECTOR H/C PROVIDER SITE","BURY METROPOLITAN BOROUGH COUNCIL"
"DKE23","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NYNWE","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NYNWF","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"NYN0B","INDEPENDENT SECTOR H/C PROVIDER SITE","BRIGHTON AND HOVE CITY COUNCIL"
"NEM9N","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NEM9O","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"DNX01","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NMK0A","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HILLINGDON"
"NO03Y","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"DNY01","INDEPENDENT SECTOR H/C PROVIDER SITE","KIRKLEES COUNCIL"
"NVE0B","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NVE0C","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NVE0D","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NVE0E","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NY6L8","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NO04A","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NQH52","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"DDV1V","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DDV1W","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DDV1X","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"NXX3G","INDEPENDENT SECTOR H/C PROVIDER SITE","COVENTRY CITY COUNCIL"
"DP001","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF ISLINGTON"
"NBG5E","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NBG5F","INDEPENDENT SECTOR H/C PROVIDER SITE","STAFFORDSHIRE COUNTY COUNCIL"
"NBG5G","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"NBG5H","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"NBG5I","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NCNSH","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"NCNSC","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"DKE24","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DKE25","INDEPENDENT SECTOR H/C PROVIDER SITE","BURY METROPOLITAN BOROUGH COUNCIL"
"NPR0G","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"DP301","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CAMDEN"
"DP401","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HARINGEY"
"NNFC7","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"ACX04","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"DKE27","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DKE26","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"NHT9D","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NXX3H","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NXX3I","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"NEM9P","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NEM9Q","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NXP43","INDEPENDENT SECTOR H/C PROVIDER SITE","WILTSHIRE COUNCIL"
"DKE28","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"NX10C","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HARINGEY"
"NPR0H","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"DP501","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"DP502","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"DE852","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DE853","INDEPENDENT SECTOR H/C PROVIDER SITE","WESTMORLAND AND FURNESS COUNCIL"
"DE854","INDEPENDENT SECTOR H/C PROVIDER SITE","CUMBERLAND COUNCIL"
"ARL07","INDEPENDENT SECTOR H/C PROVIDER SITE","SHEFFIELD CITY COUNCIL"
"ARL08","INDEPENDENT SECTOR H/C PROVIDER SITE","SHEFFIELD CITY COUNCIL"
"NXX3J","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NXX3K","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"NXX3L","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"DP601","INDEPENDENT SECTOR H/C PROVIDER SITE","CAMBRIDGESHIRE COUNTY COUNCIL"
"NPR0I","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"DP701","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"ACG20","INDEPENDENT SECTOR H/C PROVIDER SITE","BRISTOL CITY COUNCIL"
